Transformer_ID,Age_Years,Oil_Temperature_C,Winding_Temperature_C,Ambient_Temperature_C,Voltage_kV,Current_A,Load_Percentage,Oil_Level_Percentage,Moisture_ppm,Dissolved_Gas_ppm,Vibration_mm_s,Partial_Discharge_pC,Cooling_Status,Health_Status
T0001,11,80.6,87.1,22,11.0,383.1,85,94.4,15.1,320.4,2.73,48.1,Normal,Warning
T0002,8,76.7,87.2,20,11.0,407.7,89,97.0,15.9,271.7,3.05,38.3,Normal,Warning
T0003,2,66.5,73.6,35,11.0,227.9,52,97.7,12.5,144.8,1.95,22.9,Normal,Healthy
T0004,4,65.8,76.7,35,11.0,193.4,43,98.1,13.9,163.9,2.27,20.6,Normal,Healthy
T0005,26,76.7,85.1,23,11.0,296.9,66,88.3,29.5,438.5,3.65,73.5,Normal,Warning
T0006,25,78.5,87.9,28,11.0,250.4,54,87.4,29.3,415.3,4.04,65.6,Normal,Critical
T0007,20,86.2,93.0,33,11.0,414.8,93,92.5,22.4,439.9,3.83,70.4,Fan Running,Critical
T0008,10,85.7,94.5,40,11.0,385.1,84,94.8,17.7,307.6,2.8,43.9,Normal,Warning
T0009,13,84.5,94.1,30,11.0,441.8,98,96.2,21.3,387.8,3.32,55.8,Normal,Warning
T0010,22,76.6,84.0,30,11.0,283.7,64,89.4,26.5,393.3,3.46,58.3,Fan Running,Warning
T0011,18,83.4,94.9,29,11.0,337.7,75,92.9,24.5,343.2,3.9,63.6,Oil Pump Running,Critical
T0012,13,82.2,92.0,30,11.0,385.4,86,92.8,22.3,338.4,2.97,54.6,Normal,Warning
T0013,1,68.5,82.1,36,11.0,244.8,54,97.0,8.0,150.6,1.95,25.6,Oil Pump Running,Healthy
T0014,12,68.2,78.1,33,11.0,232.6,50,94.6,17.5,238.6,2.87,43.6,Fan Running,Healthy
T0015,27,80.1,87.8,40,11.0,254.7,55,88.0,31.7,444.8,4.16,69.4,Normal,Critical
T0016,23,86.5,95.3,26,11.0,360.1,81,90.5,27.4,440.2,4.14,75.5,Normal,Critical
T0017,26,88.2,96.0,25,11.0,387.3,86,88.4,27.0,443.7,4.16,76.2,Oil Pump Running,Critical
T0018,12,83.2,92.1,32,11.0,351.0,79,93.3,16.8,300.3,3.24,54.4,Normal,Warning
T0019,16,85.3,92.0,38,11.0,358.1,79,95.1,23.5,373.0,3.43,53.0,Normal,Warning
T0020,3,81.0,92.9,41,11.0,375.9,85,96.6,14.4,211.7,2.59,32.5,Normal,Warning
T0021,20,91.4,100.2,37,11.0,428.3,95,89.7,22.1,458.3,4.17,70.3,Normal,Critical
T0022,14,70.5,78.2,24,11.0,279.0,62,95.2,19.2,306.7,3.3,42.4,Normal,Healthy
T0023,29,92.4,105.4,32,11.0,390.1,88,86.2,32.3,528.4,4.89,87.3,Normal,Critical
T0024,6,81.9,88.8,22,11.0,420.5,95,98.0,14.0,288.9,3.16,47.0,Normal,Warning
T0025,8,71.0,77.7,24,11.0,314.2,70,93.9,17.8,233.8,2.5,44.7,Oil Pump Running,Healthy
T0026,17,77.0,87.3,24,11.0,314.6,70,94.9,23.8,372.6,3.77,53.4,Oil Pump Running,Warning
T0027,29,87.6,94.6,24,11.0,413.1,92,85.8,30.6,488.4,4.86,90.8,Normal,Critical
T0028,23,84.9,98.0,38,11.0,372.0,81,88.9,30.1,425.9,4.03,78.2,Normal,Critical
T0029,6,86.9,96.1,40,11.0,403.7,90,96.4,11.4,272.0,2.68,40.0,Normal,Warning
T0030,13,77.5,84.0,28,11.0,331.8,72,95.7,22.2,290.3,2.88,43.1,Normal,Healthy
T0031,9,73.9,86.7,42,11.0,232.3,51,98.1,15.6,234.2,2.43,34.7,Normal,Warning
T0032,3,64.2,71.7,26,11.0,195.3,42,97.1,8.5,129.3,1.57,21.5,Normal,Healthy
T0033,3,64.9,73.6,26,11.0,225.8,50,100.0,10.0,147.8,1.95,19.1,Normal,Healthy
T0034,6,61.3,74.8,26,11.0,186.6,41,97.3,12.0,178.7,2.17,22.8,Normal,Healthy
T0035,9,58.1,68.1,19,11.0,169.6,36,96.0,14.7,198.8,2.31,32.3,Fan Running,Healthy
T0036,18,88.2,95.9,30,11.0,441.2,99,90.8,25.7,431.7,3.62,73.6,Normal,Warning
T0037,27,66.3,78.3,22,11.0,158.1,36,87.0,28.1,402.5,3.94,68.5,Normal,Critical
T0038,20,76.7,84.2,25,11.0,320.3,72,89.0,24.2,373.7,4.09,60.8,Normal,Warning
T0039,29,79.2,85.2,27,11.0,277.1,62,87.8,32.2,436.1,4.21,71.7,Normal,Critical
T0040,27,73.7,80.1,20,11.0,230.9,53,87.7,29.0,421.1,3.92,74.7,Oil Pump Running,Critical
T0041,13,83.6,93.6,42,11.0,338.5,76,94.9,17.3,341.5,3.35,50.5,Fan Running,Warning
T0042,24,92.1,102.3,40,11.0,445.6,99,91.6,30.0,497.6,4.5,84.3,Normal,Critical
T0043,3,57.5,66.4,18,11.0,173.7,40,100.0,11.8,157.7,1.87,21.8,Fan Running,Healthy
T0044,9,82.4,94.4,18,11.0,418.5,93,96.1,17.2,290.0,3.33,44.2,Normal,Warning
T0045,28,81.8,89.5,26,11.0,296.3,65,90.7,31.4,443.0,4.15,79.4,Normal,Critical
T0046,20,76.0,83.1,38,11.0,266.1,60,92.7,23.8,364.1,3.01,53.8,Normal,Warning
T0047,22,76.8,85.1,21,11.0,279.3,62,90.5,26.4,361.1,4.0,60.2,Normal,Warning
T0048,30,71.9,78.5,33,11.0,166.6,37,90.0,36.0,407.2,4.24,78.2,Normal,Warning
T0049,19,72.6,80.7,20,11.0,236.3,53,92.4,25.0,322.8,2.9,53.6,Fan Running,Warning
T0050,29,86.7,92.8,33,11.0,382.4,85,87.7,31.0,478.4,4.45,82.6,Normal,Critical
T0051,1,76.7,83.7,28,11.0,357.8,78,100.0,12.2,193.4,2.11,25.5,Oil Pump Running,Healthy
T0052,3,81.1,94.0,29,11.0,397.0,89,96.1,12.4,256.1,2.26,40.3,Fan Running,Warning
T0053,17,76.1,88.4,28,11.0,264.3,59,90.3,24.2,322.0,3.53,53.9,Normal,Warning
T0054,24,71.6,80.8,20,11.0,186.3,41,88.1,30.4,361.1,3.82,62.5,Normal,Warning
T0055,16,80.1,88.2,31,11.0,354.8,78,93.9,21.2,340.3,3.41,59.1,Normal,Warning
T0056,6,68.6,78.6,38,11.0,252.5,55,97.4,13.5,200.0,2.48,29.1,Oil Pump Running,Healthy
T0057,7,63.2,73.6,25,11.0,204.1,46,96.0,16.5,184.1,1.74,34.1,Fan Running,Healthy
T0058,14,76.5,85.2,41,11.0,267.5,61,92.8,23.0,279.6,2.99,49.5,Normal,Healthy
T0059,3,70.1,81.3,26,11.0,295.9,66,97.4,13.3,230.1,1.85,26.3,Fan Running,Healthy
T0060,19,65.5,79.0,33,11.0,164.4,35,92.0,24.0,296.9,3.21,46.4,Normal,Healthy
